,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,MontoRetInv,MontoRetMuerte,MontoRetVol,NumPartInv,NumPartMuertos,NumPartRet,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPenInv,PagoPrimPenRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,611215407.429,36770665.4122,3.19789802025e-30,1.55699091588e-28,0.0,0.0,2127976.77898,31222881.7799,852177355.526,22472394.3064,1699049294.66,1.0,32113442.1314,7846873.74752,878416444.908,0.0,0.0,0.0,3.0,7.0,0.0,422.0,75.0,728074239.148,19708706.7729,644047810.813,0.0,0.0,890560.351454,26239089.3823,2763687.53348,1055001483.84,704624488.606,1.87164578844e+11,16025445975.7,36770665.4122,31.0
0,625037829.332,37711669.4146,4.53024483534e-30,70225854.0171,1604145.622,0.0,2074360.32607,66520665.8007,819225513.385,19518342.8873,1462566927.03,1.0,68366185.4186,7513552.11933,844339525.626,0.0,0.0,0.0,2.0,3.0,0.0,409.0,67.0,744662358.142,21122488.5093,680834040.823,0.0,0.0,1845519.61789,25114012.2405,0.0,781732886.208,682234892.418,1.9527961861e+11,16737235445.9,37711669.4146,32.0
0,633834555.593,38298015.6603,1.78237173299e-28,2.18836425035e-29,0.0,0.0,2053463.48844,28954095.5453,650425185.067,24221471.6172,918041655.892,1.0,29810200.0786,6554120.24119,670218361.085,0.0,0.0,0.0,1.0,4.0,0.0,370.0,61.0,755205136.24,23551395.5336,720072876.905,0.0,0.0,856104.533296,19793176.0184,670076.083603,197968778.986,662022334.61,2.03581238454e+11,17435473400.2,38298015.6603,33.0
0,664205210.131,40073406.7841,4.99650290596e-30,1212856124.02,3998833.36983,0.0,2206860.97146,11685427.8687,774562476.228,21028617.1988,2802538132.86,1.0,12007842.0571,805751.766838,798314089.371,0.0,0.0,0.0,1.0,1.0,0.0,392.0,58.0,791324288.669,25027450.5686,753052771.929,0.0,0.0,322414.18845,23751613.1435,0.0,2049485360.93,719010858.114,2.10561916961e+11,18008186331.2,40073406.7841,34.0
0,691494469.352,41726638.7778,2.0584308381e-30,6.90272321247e-18,0.0,617437022.951,2291106.22724,32047604.9274,856382735.45,34452171.4235,172661944.41,1.0,33013577.1924,9167493.15602,882667672.67,0.0,0.0,0.0,2.0,4.0,0.0,386.0,80.0,823843941.719,25993751.3219,790098967.361,0.0,0.0,965972.264964,26284937.2197,8458420.10161,0.0,735675314.578,2.18433818856e+11,18676641766.0,41726638.7778,35.0
0,709845887.285,42868940.668,2.4337933926e-30,2.80994618122e-29,7428619.12318,0.0,2318395.14646,60737854.9308,817090920.188,20215881.4428,1523258220.69,1.0,62532835.4783,13343568.6233,841929469.903,0.0,0.0,0.0,2.0,6.0,0.0,389.0,83.0,845746997.7,27644500.566,829463747.54,0.0,0.0,1794980.54747,24838549.7156,0.0,693794473.148,737975008.751,2.26688490422e+11,19413735734.6,42868940.668,36.0
0,729124387.303,44017057.8194,10921200.7247,7.53741142655e-29,0.0,0.0,2395692.01842,0.0,730744293.67,45837159.5927,1680171693.96,1.0,0.0,2708520.5905,752865507.342,0.0,0.0,0.0,0.0,2.0,0.0,352.0,112.0,868698252.946,30187243.9337,865469842.972,0.0,0.0,0.0,22121213.6722,15649915.6589,814701850.985,771494948.89,2.34920461244e+11,20077179019.7,44017057.8194,37.0
0,755284170.256,45482609.7869,9829646.63717,6.23336656174e-29,10803518.4201,0.0,2586963.8139,0.0,858653898.41,20150481.5095,1907715144.91,1.0,0.0,6347702.67214,884650838.587,0.0,0.0,0.0,0.0,5.0,0.0,375.0,105.0,899737955.105,30953999.9296,903422476.727,0.0,0.0,0.0,25996940.177,0.0,1004292668.18,844752072.438,2.41839824549e+11,20586778032.7,45482609.7869,38.0
0,785926952.324,47316886.6686,8.26319121591e-24,6.22607865232e-29,0.0,0.0,2703783.0928,57176379.2503,970969119.797,56640228.5138,1416073839.45,1.0,58881649.3246,0.0,1000916901.71,0.0,0.0,0.0,2.0,0.0,0.0,364.0,119.0,936229032.576,31318250.5467,944204723.346,0.0,0.0,1705270.07427,29947781.918,25321977.967,471869116.103,903532154.274,2.50187519842e+11,21303260798.6,47316886.6686,39.0
0,809184833.527,48746551.0417,3.94773004049e-30,9.41514721845e-26,8170584.04049,0.0,2755718.3488,50617879.8359,919004519.74,25691734.0043,2749318400.53,1.0,52139660.1737,13117696.5358,947202530.234,0.0,0.0,0.0,3.0,5.0,0.0,361.0,117.0,963967847.83,33862318.0448,990990561.871,0.0,0.0,1521780.33783,28198010.4934,0.0,1758327838.66,903856394.752,2.58224629778e+11,22083953257.2,48746551.0417,40.0
0,848815542.688,51144292.9615,51657316.9628,9.8738807175e-29,0.0,0.0,2880518.64191,0.0,976631878.565,181727966.309,6237636628.91,1.0,0.0,5427725.05725,1006473895.81,0.0,0.0,0.0,0.0,3.0,0.0,396.0,135.0,1011190826.57,36282854.4815,1032651063.58,0.0,0.0,0.0,29842017.245,145445111.828,5204985565.34,935024954.143,2.66570726933e+11,22826705323.5,51144292.9615,41.0
