,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,308332893.537,18469665.098,142889.735812,147450677.629,0.0,0.0,1148000.179,0.0,430940262.607,12546002.6804,807865264.828,2.0,0.0,1301084.79625,444578864.808,0.0,2.0,159.0,45.0,367193886.107,9561678.53195,351012560.473,0.0,13638602.2013,2984324.14844,456852704.355,413637191.563,1.00381674197e+11,8099099575.76,18469665.098,34.0
0,321978855.326,19356230.8059,199471.294425,2.12306374565e-29,0.0,0.0,1133656.54504,0.0,480590519.611,13620256.4461,380275706.7,2.0,0.0,2122764.36867,495361742.344,0.0,2.0,158.0,56.0,383522568.688,9676589.31917,370013123.246,0.0,14771222.733,3943667.12694,10262583.4542,378256900.449,1.03439260182e+11,8482853244.7,19356230.8059,35.0
0,321401867.882,19385219.9912,229741.128849,1.9005835024e-29,0.0,345046075.803,1073473.78122,0.0,343457171.316,14472204.0453,45579392.5857,2.0,0.0,16208044.0864,353925249.819,0.0,3.0,154.0,40.0,382906840.307,9922374.68788,390625468.389,0.0,10468078.5027,4549829.35747,0.0,356347475.012,1.07407804151e+11,8884541890.24,19385219.9912,36.0
0,330840348.07,19932167.1426,2.43723566227e-30,3.16076362069e-27,0.0,0.0,1125637.43166,16806408.8743,434975649.969,14286862.089,1062124535.14,2.0,17270116.7281,0.0,448365711.386,1.0,0.0,165.0,80.0,394126421.587,10174403.005,404336279.98,463707.85382,13390061.4161,4112459.08402,657788255.163,371807010.379,1.10787228283e+11,9170671426.67,19932167.1426,37.0
0,332748092.861,20063252.4455,8.17069187822e-30,1.26965159202e-28,0.0,0.0,1116600.67228,37618601.5493,326119316.641,15815500.5738,941262862.847,2.0,38785864.6125,1777173.42324,336067907.104,2.0,1.0,136.0,62.0,396417241.917,10908318.8746,424430576.958,1167263.06328,9948590.4631,4907181.69918,516832285.89,366979071.191,1.14232585878e+11,9466082489.22,20063252.4455,38.0
0,351786720.078,21171483.3899,6.11158521902e-30,4.17422714532e-27,0.0,0.0,1217806.3959,23870977.9588,434191927.774,17201168.2477,876400507.024,2.0,24529605.2741,0.0,447497486.608,1.0,0.0,155.0,69.0,419054161.2,12382301.7191,440031322.706,658627.315369,13305558.8336,4818866.52861,436369184.319,397148723.824,1.16952202587e+11,9721306743.3,21171483.3899,39.0
0,353485620.025,21261288.3674,122889.739423,1.41563137111e-29,0.0,0.0,1234642.84238,0.0,518390696.786,16911802.9271,494942512.664,2.0,0.0,597736.334259,534456766.097,0.0,1.0,167.0,62.0,421063942.014,13372168.6319,460905179.963,0.0,16066069.3109,3539634.29512,34037332.7016,412268768.213,1.20685410152e+11,10064627902.1,21261288.3674,40.0
0,357328254.405,21563932.523,5.60918805678e-30,159179731.637,0.0,0.0,1181125.56023,29122281.8678,323445116.167,17626368.2034,1678326631.52,2.0,29925798.6051,2281861.08825,333217024.716,1.0,1.0,131.0,77.0,425721558.346,13711821.7152,480879311.723,803516.737235,9771908.54908,3914546.48818,1197447319.8,378370084.078,1.24814081433e+11,10515105414.4,21563932.523,41.0
0,397134868.687,23949241.1959,1.11362100256e-29,1.51444264247e-29,0.0,387223580.182,1328338.8817,44050348.0673,439929567.621,19290065.8082,108493278.78,2.0,45285483.2642,0.0,453309443.521,2.0,0.0,142.0,79.0,473128213.352,14884028.0491,495716858.962,1235135.19694,13379875.9003,4406037.75913,0.0,427075342.55,1.27210084852e+11,10690769155.0,23949241.1959,42.0
0,409261144.215,24651201.9558,4.29132268814e-28,818563617.305,0.0,0.0,1396804.48026,0.0,463875057.839,18746367.8777,3479476414.64,2.0,0.0,358057.932542,478126398.191,0.0,1.0,151.0,98.0,487541961.99,16528589.9925,514664507.301,0.0,14251340.3518,2217777.88516,2964811907.34,453950644.254,1.30960908345e+11,11019283009.6,24651201.9558,43.0
0,422212984.206,25409560.1073,0.00426892671337,2.84256632093e-29,0.0,294259742.737,1460274.5569,0.0,504736102.144,18907830.0634,238914192.293,2.0,0.0,3226749.90588,520147853.744,0.0,2.0,154.0,80.0,502946679.004,16948416.1783,533173935.03,0.0,15411751.6002,1959413.8851,0.0,481886271.439,1.34627891378e+11,11366705386.7,25409560.1073,44.0
0,434662908.504,26161630.0732,11178.0306465,5.91825118495e-29,0.0,0.0,1501034.25248,0.0,504836234.572,19755065.3644,812999575.884,2.0,0.0,1186988.03145,520312947.147,0.0,2.0,155.0,114.0,517780380.424,17171745.4769,550565717.42,0.0,15476712.5747,2583319.88756,262433858.464,490372385.28,1.38896024331e+11,11727108855.2,26161630.0732,45.0
0,452461968.936,27233482.5543,4744.46835344,3.74829575096e-29,0.0,0.0,1561902.57694,0.0,569680429.915,20472826.827,1335552635.47,2.0,0.0,5786697.47003,587072529.558,0.0,2.0,158.0,103.0,538983653.36,17607907.812,572617257.732,0.0,17392099.6428,2864919.01501,762935377.743,513388988.735,1.42485077537e+11,12038231725.4,27233482.5543,46.0
0,457441441.309,27543418.9159,4.15375056716e-30,6.62636129949e-28,0.0,520929063.187,1570783.94173,125605307.943,515198096.808,21406083.9536,75015952.2533,2.0,129118011.099,458774.996449,530947601.491,2.0,1.0,156.0,97.0,544926809.242,17265503.1645,595945015.44,3512703.1558,15749504.6832,4140580.78906,0.0,515384676.054,1.46844081879e+11,12494964379.2,27543418.9159,47.0
0,460331396.324,27657825.0202,6.74987575322e-29,6.63077983899e-28,0.0,0.0,1635483.64018,58820611.2552,558177502.495,25000413.6235,1896511009.28,2.0,60443538.5331,1903496.0568,575219062.665,1.0,2.0,148.0,105.0,548302495.892,21019616.605,617642649.392,1622927.2779,17041560.1697,3980797.01853,1278868359.89,542772167.329,1.51452063855e+11,12856918898.8,27657825.0202,48.0
0,488459357.446,29396958.5354,8.53239096309e-30,8.27554328264e-29,0.0,36832887.7088,1690291.70065,110504314.689,582508944.463,25428621.4318,601556143.886,2.0,113807551.762,1596079.29072,600443551.113,2.0,1.0,153.0,111.0,581861029.193,22694648.1468,638389031.594,3303237.07364,17934606.6502,2733973.285,0.0,566829370.873,1.56126145855e+11,13264838272.3,29396958.5354,49.0
0,505719620.662,30443352.9903,1.05316613412e-29,4.09586804441e-28,0.0,0.0,1742923.40708,110148806.927,604925371.196,28435262.3272,4599884970.5,2.0,113607553.84,6887371.11629,623511699.661,3.0,2.0,148.0,108.0,602430307.474,23414851.9563,661326974.092,3458746.91217,18586328.4648,5020410.37095,3938557996.41,586063511.645,1.6131405661e+11,13695671718.0,30443352.9903,50.0
